,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2024-09-28,00:02:34.860,   18.66,   12.43,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   17.19,   12.26,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   35.85,   24.69,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   60.54,   21.98,   12.21,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   19.42,   10.63,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,   41.39,   22.84,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   64.24,     77.25,     47.53,      0.00,      0.00,     77.25,     47.53,    124.78
2024-09-28,00:02:35.860,  113.00,  539.64,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   64.38,  523.38,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  177.38, 1063.02,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00, 1240.39,   41.21,   21.93,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   38.58,   20.31,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,   79.79,   42.24,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  122.03,    257.16,   1105.26,      0.00,      0.00,    257.17,   1105.26,   1362.42
2024-09-28,00:02:36.860,  189.28, 1225.58,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   80.90, 1187.35,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  270.17, 2412.93,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2683.10,   35.13,   19.52,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   32.95,   18.34,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,   68.07,   37.85,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  105.92,    338.25,   2450.78,      0.00,      0.00,    338.25,   2450.78,   2789.03
2024-09-28,00:02:37.860,  202.25, 1214.78,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   94.93, 1185.45,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  297.18, 2400.23,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2697.41,   29.80,   15.37,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   28.06,   14.38,    0.00,    0.00,,,,,,,,,   57.86,   29.76,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,   87.61,    355.04,   2429.99,      0.00,      0.00,    355.04,   2429.99,   2785.03
2024-09-28,00:02:38.861,  214.82, 1348.81,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  102.48, 1315.21,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  317.29, 2664.02,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2981.31,   44.97,   23.44,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   41.87,   21.50,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,   86.83,   44.94,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  131.78,    404.12,   2708.96,      0.00,      0.00,    404.13,   2708.96,   3113.08
2024-09-28,00:02:39.861, 1744.94, 2038.57,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 1710.46, 2032.16,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 3455.40, 4070.73,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 7526.12,   43.73,   19.66,    0.00,    0.00,,,,,,,,,   41.23,   18.17,    0.00,    0.00,,,,,,,,,   84.96,   37.83,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  122.79,   3540.36,   4108.56,      0.00,      0.00,   3540.36,   4108.56,   7648.91
2024-09-28,00:02:40.861, 1462.07,  885.43,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 1412.11,  857.94,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 2874.18, 1743.37,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 4617.55,   42.65,   18.42,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   39.68,   16.66,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,   82.33,   35.08,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  117.41,   2956.51,   1778.45,      0.00,      0.00,   2956.51,   1778.45,   4734.96
2024-09-28,00:02:41.861, 1334.20,  476.73,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 1331.96,  475.96,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 2666.17,  952.69,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3618.86,   56.58,   25.45,    0.00,    0.00,,,,,,,,,   53.29,   23.48,    0.00,    0.00,,,,,,,,,  109.87,   48.93,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  158.80,   2776.04,   1001.62,      0.00,      0.00,   2776.04,   1001.62,   3777.66
2024-09-28,00:02:42.862, 5828.91, 4177.37,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 5662.80, 4123.92,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,11491.71, 8301.29,    0.00,    0.00,    1.02,    1.02,    0.00,    0.00,19793.00, 3621.82, 2518.13,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 3450.50, 2422.13,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00, 7072.32, 4940.26,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,12012.58,  18564.03,  13241.55,      0.00,      0.00,  18564.03,  13241.55,  31805.58
2024-09-28,00:02:43.861, 5541.19, 5683.57,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 5209.64, 5570.87,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,10750.83,11254.44,    0.00,    0.00,    1.04,    1.04,    0.00,    0.00,22005.27, 3405.90, 4703.61,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00, 3019.72, 4649.38,    0.00,    0.00,,,,,,,,, 6425.63, 9353.00,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,15778.62,  17176.46,  20607.44,      0.00,      0.00,  17176.46,  20607.44,  37783.89
2024-09-28,00:02:44.862, 4581.00, 1459.47,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 4533.87, 1454.69,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 9114.87, 2914.16,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,12029.03, 3750.49,  912.51,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 3705.00,  901.23,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00, 7455.49, 1813.73,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 9269.22,  16570.36,   4727.89,      0.00,      0.00,  16570.36,   4727.89,  21298.25
2024-09-28,00:02:45.863,  526.16,  303.26,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  501.50,  295.77,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 1027.66,  599.03,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 1626.69,  324.52,  413.20,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  295.37,  399.98,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,  619.88,  813.18,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1433.07,   1647.54,   1412.21,      0.00,      0.00,   1647.54,   1412.21,   3059.76
2024-09-28,00:02:46.863, 7457.79, 3946.43,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7394.08, 3967.48,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,14851.87, 7913.91,    0.00,    0.00,    1.00,    1.01,    0.00,    0.00,22765.78, 4196.26, 2325.92,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 4068.80, 2309.99,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00, 8265.06, 4635.91,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,12900.97,  23116.93,  12549.82,      0.00,      0.00,  23116.93,  12549.82,  35666.75
2024-09-28,00:02:47.864, 9052.31, 2873.83,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 8994.77, 2872.41,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,18047.07, 5746.25,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,23793.32, 8965.04, 2837.67,    0.00,    0.00,,,,,,,,, 8898.41, 2825.45,    0.00,    0.00,,,,,,,,,17863.46, 5663.11,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,23526.57,  35910.53,  11409.36,      0.00,      0.00,  35910.53,  11409.36,  47319.89
2024-09-28,00:02:48.864,10682.07, 3085.04,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,10646.26, 3080.85,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,21328.33, 6165.89,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,27494.22,10721.07, 3083.57,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,10685.78, 3074.27,    0.00,    0.00,,,,,,,,,21406.85, 6157.84,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,27564.69,  42735.18,  12323.73,      0.00,      0.00,  42735.18,  12323.73,  55058.91
2024-09-28,00:02:49.866, 6791.67, 2002.80,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6767.87, 1999.35,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,13559.55, 4002.15,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17561.70, 6809.45, 1990.88,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6788.59, 1986.92,    0.00,    0.00,,,,,,,,,13598.04, 3977.80,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17575.85,  27157.59,   7979.95,      0.00,      0.00,  27157.59,   7979.95,  35137.55
2024-09-28,00:02:50.866, 5526.38, 1698.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 5502.13, 1696.97,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,11028.51, 3394.97,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,14423.48, 5479.21, 1710.53,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 5452.24, 1701.65,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,10931.45, 3412.18,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,14343.63,  21959.96,   6807.15,      0.00,      0.00,  21959.96,   6807.15,  28767.12
2024-09-28,00:02:51.864, 6937.95, 2082.42,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6914.78, 2082.85,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,13852.73, 4165.26,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,18017.99, 6954.52, 2070.78,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6922.84, 2062.09,    0.00,    0.00,,,,,,,,,13877.36, 4132.88,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,18010.24,  27730.09,   8298.14,      0.00,      0.00,  27730.10,   8298.14,  36028.24
2024-09-28,00:02:52.865,10428.60, 3163.73,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,10399.62, 3159.81,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,20828.22, 6323.53,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,27151.76,10521.16, 3143.08,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,10489.67, 3135.93,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,21010.83, 6279.01,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,27289.84,  41839.05,  12602.54,      0.00,      0.00,  41839.06,  12602.54,  54441.60
2024-09-28,00:02:53.866, 6589.09, 2024.96,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6562.53, 2024.47,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,13151.62, 4049.43,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17201.05, 6655.87, 1964.30,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6624.84, 1958.17,    0.00,    0.00,,,,,,,,,13280.71, 3922.47,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17203.18,  26432.33,   7971.90,      0.00,      0.00,  26432.33,   7971.90,  34404.23
