,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2024-09-29,00:27:29.860,   33.16,   16.13,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   31.69,   16.10,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   64.85,   32.23,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,   97.08,   20.10,   16.01,    0.00,    0.00,    0.00,    0.00,    0.14,    0.28,    0.00,    0.00,    0.14,    0.28,   16.99,   14.72,    0.00,    0.00,    0.00,    0.00,    0.14,    0.28,    0.00,    0.00,    0.14,    0.28,   37.09,   30.73,    0.56,    1.12,    0.98,    0.98,    0.00,    0.00,   67.82,    101.94,     62.96,      0.56,      1.12,    102.50,     64.07,    166.57
2024-09-29,00:27:30.860,   87.01,   56.95,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   79.17,   55.44,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  166.18,  112.40,    0.01,    0.00,    1.00,    0.99,    0.00,    0.00,  278.58,   18.69,   15.44,    0.00,    0.00,    0.00,    0.00,  115.81,  228.64,    0.00,    0.00,  115.81,  228.65,   16.06,   13.76,    0.00,    0.00,    0.00,    0.00,  115.83,  228.57,    0.00,    0.00,  115.84,  228.65,   34.75,   29.21,  463.28,  914.50,    0.98,    0.98,    0.00,    0.00,   63.96,    200.93,    141.61,    463.29,    914.50,    664.22,   1056.10,   1720.32
2024-09-29,00:27:31.860,  625.46,  350.70,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  565.30,  347.58,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 1190.76,  698.28,    0.01,    0.00,    1.00,    1.00,    0.00,    0.00, 1889.04,   72.28,   68.37,    0.00,    0.00,    0.00,    0.00,  269.42,  536.97,    0.00,    0.00,  269.39,  536.87,   63.73,   63.36,    0.00,    0.00,    0.00,    0.00,  269.40,  536.84,    0.00,    0.00,  269.41,  536.77,  136.01,  131.73, 1077.62, 2147.45,    1.00,    0.99,    0.00,    0.00,  267.74,   1326.77,    830.01,   1077.63,   2147.45,   2404.40,   2977.46,   5381.87
2024-09-29,00:27:32.860,   63.95,   15.88,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   62.32,   15.72,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  126.26,   31.60,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  157.86,   16.35,    9.91,    0.00,    0.00,    0.00,    0.00,  268.54,  537.45,    0.00,    0.00,  268.52,  537.37,   14.71,    9.04,    0.00,    0.00,    0.00,    0.00,  268.52,  537.40,    0.00,    0.00,  268.53,  537.39,   31.07,   18.95, 1074.11, 2149.62,    0.98,    0.97,    0.00,    0.00,   50.01,    157.33,     50.54,   1074.11,   2149.62,   1231.44,   2200.16,   3431.60
2024-09-29,00:27:33.861,   52.98,   13.11,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   51.56,   12.81,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  104.55,   25.92,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  130.47,   16.24,   10.69,    0.00,    0.00,    0.00,    0.00,  269.59,  538.61,    0.00,    0.00,  269.56,  538.58,   14.58,    9.63,    0.00,    0.00,    0.00,    0.00,  269.57,  538.68,    0.00,    0.00,  269.57,  538.61,   30.82,   20.32, 1078.29, 2154.48,    0.98,    0.97,    0.00,    0.00,   51.14,    135.37,     46.24,   1078.29,   2154.48,   1213.66,   2200.72,   3414.38
2024-09-29,00:27:34.861,   62.33,   16.53,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   60.84,   16.38,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  123.17,   32.91,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  156.08,   20.89,   18.76,    0.00,    0.00,    0.00,    0.00,  269.17,  538.97,    0.00,    0.00,  269.16,  538.99,   18.11,   17.45,    0.00,    0.00,    0.00,    0.00,  269.17,  538.85,    0.00,    0.00,  269.19,  539.02,   39.00,   36.21, 1076.70, 2155.84,    0.98,    0.98,    0.00,    0.00,   75.21,    162.16,     69.12,   1076.70,   2155.84,   1238.86,   2224.96,   3463.83
2024-09-29,00:27:35.861,   82.51,   20.26,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   80.99,   20.01,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  163.50,   40.27,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  203.78,   20.60,   16.72,    0.00,    0.00,    0.00,    0.00,  268.50,  536.44,    0.00,    0.00,  268.48,  536.36,   18.86,   15.60,    0.00,    0.00,    0.00,    0.00,  268.48,  536.44,    0.00,    0.00,  268.51,  536.47,   39.46,   32.32, 1073.97, 2145.71,    0.98,    0.98,    0.00,    0.00,   71.77,    202.96,     72.59,   1073.97,   2145.71,   1276.93,   2218.30,   3495.23
2024-09-29,00:27:36.862,   63.83,   18.61,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   62.08,   18.37,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  125.91,   36.98,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  162.89,   21.66,   17.64,    0.00,    0.00,    0.00,    0.00,  268.32,  538.42,    0.00,    0.00,  268.29,  538.25,   18.66,   16.18,    0.00,    0.00,    0.00,    0.00,  268.29,  538.27,    0.00,    0.00,  268.30,  538.32,   40.32,   33.81, 1073.21, 2153.26,    0.98,    0.98,    0.00,    0.00,   74.13,    166.23,     70.79,   1073.21,   2153.26,   1239.44,   2224.06,   3463.50
2024-09-29,00:27:37.862,   55.96,   14.41,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   54.51,   14.10,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  110.47,   28.51,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  138.98,   12.48,    7.94,    0.00,    0.00,    0.00,    0.00,  269.31,  537.21,    0.00,    0.00,  269.28,  537.28,   11.14,    6.99,    0.00,    0.00,    0.00,    0.00,  269.28,  537.23,    0.00,    0.00,  269.30,  537.28,   23.62,   14.93, 1077.17, 2149.00,    0.96,    0.96,    0.00,    0.00,   38.55,    134.09,     43.44,   1077.17,   2149.00,   1211.26,   2192.44,   3403.70
2024-09-29,00:27:38.862,   60.51,   16.96,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   58.65,   16.52,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  119.15,   33.48,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  152.63,   18.76,   15.64,    0.00,    0.00,    0.00,    0.00,  269.81,  538.85,    0.00,    0.00,  269.78,  538.73,   16.36,   14.61,    0.00,    0.00,    0.00,    0.00,  269.79,  538.80,    0.00,    0.00,  269.80,  538.78,   35.12,   30.25, 1079.18, 2155.16,    0.98,    0.98,    0.00,    0.00,   65.38,    154.28,     63.73,   1079.18,   2155.16,   1233.45,   2218.89,   3452.34
2024-09-29,00:27:39.862,   47.83,   11.51,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   46.69,   11.39,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   94.52,   22.90,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  117.42,   12.43,    7.54,    0.00,    0.00,    0.00,    0.00,  270.74,  542.48,    0.00,    0.00,  270.72,  542.42,   11.19,    6.66,    0.00,    0.00,    0.00,    0.00,  270.73,  542.46,    0.00,    0.00,  270.73,  542.52,   23.62,   14.21, 1082.92, 2169.88,    0.97,    0.96,    0.00,    0.00,   37.83,    118.14,     37.10,   1082.92,   2169.88,   1201.07,   2206.98,   3408.04
